user_id,transaction_id,amount,merchant,transaction_type,location,is_fraud
4448,882580,145.25,Target,ATM,Houston,0
8141,358288,3867.74,Walmart,ATM,New York,0
3103,911741,4220.22,Ebay,Online,New York,0
1467,833336,3557.32,Amazon,Wire Transfer,Los Angeles,0
1389,159672,2269.59,Amazon,POS,Los Angeles,0
6426,518330,844.96,BestBuy,Online,Chicago,0
3561,739938,872.01,BestBuy,POS,New York,0
5835,792929,2910.35,Walmart,ATM,Chicago,0
8123,749868,105.85,Ebay,Online,Los Angeles,1
2814,577420,1106.74,BestBuy,Online,Chicago,0
1314,705821,3139.32,Walmart,POS,Los Angeles,0
1655,298694,3082.77,Amazon,ATM,Chicago,0
9739,384806,541.46,Target,Online,Miami,0
9067,374792,4309.52,Target,ATM,Houston,0
5841,803165,278.76,Target,Wire Transfer,New York,0
9781,404435,696.55,Walmart,Online,Houston,0
4270,485116,1848.16,Amazon,Wire Transfer,Miami,0
2942,242966,4098.48,Amazon,POS,Los Angeles,0
8508,720717,1808.46,Walmart,Online,Los Angeles,0
9423,364454,4197.33,BestBuy,Online,Houston,0
6959,925436,1956.76,BestBuy,ATM,Miami,0
8627,270227,3348.52,Ebay,ATM,Los Angeles,0
9680,710019,1078.84,Walmart,Online,Los Angeles,0
4982,426963,4630.74,BestBuy,POS,Miami,0
9427,536421,3361.69,Target,ATM,Houston,0
2417,672387,4577.59,Walmart,Wire Transfer,Chicago,0
1484,777076,3826.34,Amazon,Online,Los Angeles,0
4637,455683,292.79,BestBuy,Wire Transfer,Miami,0
7699,439900,3835.81,Target,POS,Chicago,0
6020,166885,3730.66,Target,ATM,Miami,0
7217,932111,705.27,Target,Online,Miami,0
6875,917990,380.54,BestBuy,Wire Transfer,Miami,0
8565,689527,4807.61,Amazon,Online,Miami,0
2220,371160,4020.64,Walmart,Online,Miami,0
5810,220236,1514.48,Walmart,ATM,Houston,0
2485,361904,1271.75,Target,POS,Houston,1
2470,694576,1243.91,Walmart,Online,Houston,0
9231,128175,4567.69,Ebay,ATM,Chicago,0
1479,841290,822.84,BestBuy,ATM,Los Angeles,0
4163,282455,4594.31,Ebay,Online,New York,0
2274,570380,1884.0,Amazon,Online,New York,0
3350,159539,3487.49,Amazon,Online,Miami,0
8368,475217,1906.63,BestBuy,ATM,New York,0
9059,315323,1250.5,Amazon,ATM,Miami,0
5743,692623,3715.86,Amazon,Online,Miami,0
4703,514325,3031.28,Amazon,Wire Transfer,Los Angeles,0
9475,356231,1397.43,Amazon,Wire Transfer,Los Angeles,0
1759,970873,1638.09,Walmart,Online,Chicago,0
3267,657630,3700.05,Walmart,Online,Miami,0
4214,581409,4985.32,Walmart,ATM,Chicago,0
9978,886482,2167.52,BestBuy,Online,Houston,0
9672,662530,2717.07,BestBuy,ATM,Miami,0
6414,790816,4115.65,BestBuy,Online,Chicago,0
2168,154963,1905.89,BestBuy,POS,Chicago,0
2222,112615,1378.2,Amazon,Wire Transfer,Los Angeles,0
5475,393762,4379.28,Target,ATM,Miami,1
8736,978131,1753.51,BestBuy,Wire Transfer,Chicago,0
4753,938105,4900.99,Walmart,Wire Transfer,Los Angeles,0
6868,309010,4574.25,Amazon,Online,New York,0
9801,570616,4978.38,BestBuy,Online,Houston,0
2106,264737,227.04,Walmart,Online,Miami,0
6979,714918,1528.51,Walmart,ATM,Houston,0
6932,461256,125.04,Amazon,POS,Houston,0
5528,331036,187.1,Amazon,ATM,New York,0
3744,555879,1842.57,Target,POS,Houston,0
8365,751273,4905.09,Ebay,ATM,Los Angeles,0
1314,195882,4831.42,Ebay,Online,Miami,0
3776,893220,589.69,Amazon,Online,Miami,0
9077,245037,172.45,BestBuy,ATM,New York,0
9613,452825,4410.21,BestBuy,Online,Los Angeles,0
3196,299435,2464.38,Ebay,ATM,Houston,0
3534,597541,3982.62,BestBuy,ATM,Miami,0
9405,695487,4157.12,BestBuy,ATM,Miami,0
4266,454189,3884.56,Walmart,POS,Los Angeles,0
2463,989479,2486.8,Ebay,ATM,Houston,0
5639,565881,2307.74,Walmart,POS,New York,0
9403,397128,593.82,Amazon,Wire Transfer,Chicago,0
7463,173625,4048.48,BestBuy,Online,Miami,0
4706,142058,2684.56,Target,Online,Miami,0
4499,324679,3264.45,Amazon,ATM,Miami,1
7695,932163,1366.77,BestBuy,Online,New York,0
6171,253851,3711.72,Ebay,POS,Houston,0
4671,597410,1294.43,Target,ATM,Chicago,0
5847,420055,1651.67,BestBuy,ATM,Houston,0
3870,862519,2431.73,Amazon,POS,Los Angeles,0
4849,120327,4344.79,Ebay,Online,New York,0
4403,960555,165.63,Amazon,POS,Los Angeles,0
9063,279987,3369.93,Ebay,ATM,New York,0
9608,974915,2188.09,Walmart,ATM,Miami,0
5056,948448,794.81,Amazon,Wire Transfer,Miami,0
2240,882925,2136.36,Walmart,Wire Transfer,Houston,0
8480,304114,4631.14,Ebay,POS,Los Angeles,0
2184,719359,3456.5,Walmart,POS,Los Angeles,0
4930,502364,2630.18,Amazon,Wire Transfer,Miami,0
9873,513289,1782.58,BestBuy,Wire Transfer,Miami,0
1446,709785,739.58,BestBuy,Online,Miami,0
8067,586469,3325.76,Walmart,Online,Los Angeles,0
5019,443382,256.06,Walmart,POS,New York,0
6941,213041,740.4,Ebay,Online,New York,0
7990,359503,1415.36,Target,ATM,Houston,0
1057,193516,611.6,BestBuy,ATM,Miami,0
7669,409906,4610.34,Target,POS,Los Angeles,0
6863,527740,3997.2,Ebay,POS,Chicago,0
1222,676123,633.45,BestBuy,ATM,Los Angeles,0
6335,784184,1774.54,Target,Wire Transfer,Houston,0
2177,576277,2662.37,BestBuy,Wire Transfer,Miami,0
4963,589163,2545.16,Target,Wire Transfer,Los Angeles,0
2067,596368,2977.16,BestBuy,ATM,Houston,0
2487,676274,654.25,Ebay,POS,Los Angeles,0
3521,435794,3649.71,Amazon,Wire Transfer,Los Angeles,0
9689,528321,3999.57,Target,Wire Transfer,Chicago,0
8979,453293,2282.45,Walmart,Wire Transfer,Miami,0
8192,913486,208.16,Ebay,POS,Miami,0
4853,996928,3183.66,BestBuy,Wire Transfer,Los Angeles,0
5506,790010,3779.79,BestBuy,Wire Transfer,Los Angeles,0
5260,443647,4370.74,Ebay,Wire Transfer,Los Angeles,0
9160,159726,3395.03,Amazon,Online,Houston,0
5766,577498,852.86,Ebay,Wire Transfer,Houston,0
9657,136041,4705.07,Ebay,Wire Transfer,Los Angeles,0
3925,270934,1870.76,Walmart,ATM,Houston,0
8469,779238,2777.72,BestBuy,Wire Transfer,Los Angeles,0
2882,855608,4708.53,Amazon,ATM,Houston,0
7822,103857,3345.59,Ebay,Online,New York,0
8974,466464,1751.05,Ebay,ATM,Houston,0
8558,648175,4447.79,Amazon,POS,Houston,0
8372,681006,699.35,BestBuy,ATM,Los Angeles,0
2212,760798,978.78,Ebay,POS,Miami,1
3723,707993,2783.17,Target,ATM,Houston,0
4730,648150,2579.93,BestBuy,Online,Chicago,0
3125,785753,3214.45,Ebay,ATM,Miami,0
3041,718426,338.84,Amazon,ATM,Los Angeles,0
8910,808668,236.42,Ebay,Wire Transfer,Miami,0
9086,844941,4378.96,Ebay,Wire Transfer,Houston,0
1861,582136,3917.52,BestBuy,POS,Los Angeles,0
5702,200039,3520.47,Amazon,ATM,Houston,0
1178,861302,1438.23,Target,ATM,New York,0
9622,755944,1223.14,Amazon,POS,Houston,0
1433,201401,4418.06,BestBuy,POS,Chicago,0
5502,421151,2793.88,Target,Online,New York,1
7116,353240,3868.41,BestBuy,Online,Los Angeles,0
3954,341393,915.22,BestBuy,Online,New York,1
8650,307234,1227.22,Amazon,POS,Los Angeles,0
5708,718002,4129.1,Target,ATM,New York,0
1544,813853,3204.46,Target,ATM,Miami,0
8565,582037,2219.43,Target,ATM,Los Angeles,0
1558,774722,1442.66,Ebay,Wire Transfer,Miami,0
5536,708040,3799.84,Ebay,Online,New York,0
1917,739032,2341.27,Ebay,ATM,New York,0
5034,161972,4896.52,BestBuy,Online,New York,0
6419,236163,4415.48,BestBuy,POS,Miami,0
3569,869079,3100.29,Amazon,ATM,Houston,0
4359,675238,1424.98,Ebay,Wire Transfer,Chicago,0
9630,718746,656.96,Amazon,Online,Chicago,0
2646,787457,2256.82,Ebay,POS,Houston,0
9875,534844,4605.99,Ebay,ATM,New York,0
9478,672995,4790.41,Walmart,ATM,Miami,0
1851,406600,3094.62,Target,POS,Houston,0
3193,678198,1970.51,Walmart,Online,Miami,0
4377,885713,1707.15,Ebay,POS,Los Angeles,0
8440,620787,934.91,Walmart,Wire Transfer,Houston,0
5789,456057,3898.09,Ebay,POS,Chicago,0
1255,766192,3097.27,BestBuy,POS,Los Angeles,0
3552,260824,137.83,Walmart,ATM,New York,0
6410,340461,4763.64,BestBuy,POS,Chicago,0
8291,347243,4420.33,BestBuy,POS,New York,0
3095,628196,3678.89,Walmart,Wire Transfer,Houston,1
1892,884041,1925.26,Target,ATM,Miami,0
5528,217895,4593.04,Ebay,Online,Houston,0
7864,776645,511.05,Target,POS,Los Angeles,0
5530,694720,428.81,Ebay,ATM,Miami,0
5050,976364,1330.54,Ebay,Online,Miami,0
5892,909917,253.19,Target,POS,New York,0
1685,527420,1201.29,Target,Wire Transfer,Houston,0
8425,595564,2163.3,BestBuy,Wire Transfer,Los Angeles,0
2852,394319,1675.96,Walmart,Wire Transfer,Los Angeles,0
3184,219974,1786.03,Ebay,Wire Transfer,Chicago,0
9041,351241,4762.99,BestBuy,Wire Transfer,Houston,0
1319,454841,4727.69,Walmart,Wire Transfer,Los Angeles,0
8499,887826,3487.24,Target,ATM,Chicago,0
9864,100929,1479.61,Walmart,POS,Houston,0
9392,419112,74.66,Walmart,Wire Transfer,Miami,0
